,Precio (Euros/Mes),Habitaciones,Tamanyo (m2),Euros/m2
852,500,1 hab.,40,12.5
853,2000,3 hab.,175,11.43
854,750,2 hab.,80,9.38
855,750,2 hab.,80,9.38
856,850,3 hab.,125,6.8
857,480,1 hab.,60,8.0
858,750,2 hab.,90,8.33
859,800,3 hab.,116,6.9
860,780,3 hab.,145,5.38
861,1700,6 hab.,300,5.67
862,800,3 hab.,100,8.0
863,1500,4 hab.,130,11.54
864,1000,4 hab.,125,8.0
865,750,3 hab.,90,8.33
866,700,2 hab.,90,7.78
867,1500,3 hab.,145,10.34
868,850,3 hab.,140,6.07
869,1100,3 hab.,140,7.86
870,550,,42,13.1
871,850,3 hab.,290,2.93
872,750,3 hab.,94,7.98
873,725,3 hab.,100,7.25
874,1000,4 hab.,130,7.69
875,600,3 hab.,100,6.0
876,700,2 hab.,75,9.33
877,650,1 hab.,55,11.82
878,600,3 hab.,105,5.71
879,680,3 hab.,98,6.94
880,980,2 hab.,75,13.07
881,420,3 hab.,70,6.0
882,800,3 hab.,100,8.0
883,680,2 hab.,87,7.82
884,820,2 hab.,110,7.45
885,490,3 hab.,74,6.62
886,450,2 hab.,69,6.52
887,650,1 hab.,55,11.82
888,400,3 hab.,79,5.06
889,600,1 hab.,60,10.0
890,450,2 hab.,70,6.43
891,900,4 hab.,140,6.43
892,1050,3 hab.,105,10.0
893,850,3 hab.,100,8.5
894,700,4 hab.,120,5.83
895,600,2 hab.,50,12.0
896,1200,3 hab.,180,6.67
897,750,4 hab.,130,5.77
898,750,,95,7.89
899,5000,12 hab.,350,14.29
900,850,3 hab.,130,6.54
901,1200,3 hab.,140,8.57
902,850,3 hab.,130,6.54
903,1875,2 hab.,115,16.3
904,700,2 hab.,65,10.77
905,2200,4 hab.,400,5.5
906,1000,3 hab.,127,7.87
907,1800,4 hab.,140,12.86
908,450,2 hab.,80,5.62
909,500,1 hab.,80,6.25
910,500,1 hab.,80,6.25
911,600,3 hab.,90,6.67
912,700,3 hab.,140,5.0
913,790,2 hab.,105,7.52
914,650,1 hab.,80,8.12
915,900,4 hab.,130,6.92
916,500,1 hab.,60,8.33
917,825,2 hab.,80,10.31
918,900,3 hab.,150,6.0
919,1300,2 hab.,140,9.29
920,600,2 hab.,75,8.0
921,750,3 hab.,100,7.5
922,850,3 hab.,80,10.62
923,795,4 hab.,180,4.42
924,750,2 hab.,75,10.0
925,750,1 hab.,70,10.71
926,750,2 hab.,75,10.0
927,1000,3 hab.,130,7.69
928,700,,30,23.33
929,650,4 hab.,120,5.42
930,3000,4 hab.,140,21.43
931,800,2 hab.,105,7.62
932,1400,4 hab.,130,10.77
933,420,3 hab.,75,5.6
934,600,3 hab.,80,7.5
935,1100,2 hab.,110,10.0
936,580,1 hab.,70,8.29
937,700,3 hab.,82,8.54
938,2500,5 hab.,485,5.15
939,600,4 hab.,120,5.0
940,650,3 hab.,100,6.5
941,2250,2 hab.,80,28.12
942,600,4 hab.,110,5.45
943,850,4 hab.,125,6.8
944,470,2 hab.,83,5.66
945,770,3 hab.,70,11.0
946,460,3 hab.,80,5.75
947,550,,42,13.1
948,650,2 hab.,75,8.67
949,800,1 hab.,67,11.94
950,470,2 hab.,55,8.55
951,850,2 hab.,93,9.14
952,1150,4 hab.,84,13.69
953,550,2 hab.,78,7.05
954,650,1 hab.,70,9.29
955,900,2 hab.,105,8.57
956,500,1 hab.,45,11.11
957,750,3 hab.,80,9.38
958,700,2 hab.,85,8.24
959,780,2 hab.,100,7.8
960,1100,3 hab.,120,9.17
961,450,,28,16.07
962,680,2 hab.,80,8.5
963,700,2 hab.,75,9.33
964,1100,4 hab.,131,8.4
965,750,4 hab.,140,5.36
966,500,1 hab.,68,7.35
967,550,3 hab.,78,7.05
968,580,2 hab.,75,7.73
969,600,4 hab.,113,5.31
970,480,,45,10.67
971,800,2 hab.,80,10.0
972,800,3 hab.,125,6.4
973,750,2 hab.,75,10.0
974,495,2 hab.,67,7.39
975,590,1 hab.,50,11.8
976,950,2 hab.,85,11.18
977,600,2 hab.,90,6.67
978,800,4 hab.,160,5.0
979,600,2 hab.,70,8.57
980,450,3 hab.,70,6.43
981,800,3 hab.,115,6.96
982,750,4 hab.,140,5.36
983,740,3 hab.,120,6.17
984,1300,2 hab.,180,7.22
985,600,2 hab.,60,10.0
986,1000,4 hab.,140,7.14
987,800,2 hab.,98,8.16
988,580,2 hab.,78,7.44
989,850,1 hab.,60,14.17
990,950,2 hab.,80,11.88
991,650,1 hab.,80,8.12
992,900,3 hab.,95,9.47
993,650,2 hab.,80,8.12
994,700,2 hab.,67,10.45
995,1100,3 hab.,120,9.17
996,850,3 hab.,100,8.5
997,800,3 hab.,85,9.41
998,750,1 hab.,60,12.5
999,1600,3 hab.,148,10.81
1000,950,3 hab.,120,7.92
1001,1200,3 hab.,96,12.5
1002,1900,5 hab.,170,11.18
1003,1200,2 hab.,100,12.0
1004,650,1 hab.,60,10.83
1005,570,,120,4.75
1006,570,1 hab.,45,12.67
1007,800,3 hab.,105,7.62
1008,400,2 hab.,80,5.0
1009,725,3 hab.,122,5.94
1010,650,3 hab.,100,6.5
1011,550,3 hab.,90,6.11
1012,650,3 hab.,137,4.74
1013,750,3 hab.,90,8.33
1014,500,4 hab.,80,6.25
1015,800,3 hab.,92,8.7
1016,2000,4 hab.,160,12.5
1017,850,3 hab.,105,8.1
1018,1000,4 hab.,160,6.25
1019,600,3 hab.,90,6.67
1020,740,3 hab.,130,5.69
1021,950,3 hab.,120,7.92
1022,775,2 hab.,105,7.38
1023,700,2 hab.,75,9.33
1024,600,4 hab.,120,5.0
1025,900,2 hab.,95,9.47
1026,600,3 hab.,115,5.22
1027,650,3 hab.,90,7.22
1028,950,2 hab.,75,12.67
1029,1900,3 hab.,120,15.83
1030,550,1 hab.,38,14.47
1031,650,3 hab.,110,5.91
1032,650,3 hab.,100,6.5
1033,650,2 hab.,93,6.99
1034,780,2 hab.,95,8.21
1035,800,3 hab.,100,8.0
1036,850,3 hab.,95,8.95
1037,850,3 hab.,90,9.44
1038,800,3 hab.,130,6.15
1039,600,2 hab.,40,15.0
1040,650,1 hab.,55,11.82
1041,900,2 hab.,45,20.0
1042,800,2 hab.,90,8.89
1043,800,3 hab.,110,7.27
1044,900,3 hab.,105,8.57
1045,980,2 hab.,75,13.07
1046,1500,4 hab.,250,6.0
1047,1250,2 hab.,107,11.68
1048,500,3 hab.,85,5.88
1049,900,3 hab.,102,8.82
1050,500,2 hab.,111,4.5
1051,650,3 hab.,80,8.12
1052,780,3 hab.,90,8.67
1053,600,3 hab.,90,6.67
1054,475,3 hab.,85,5.59
1055,550,,30,18.33
1056,1300,4 hab.,170,7.65
1057,600,2 hab.,80,7.5
1058,825,4 hab.,160,5.16
1059,800,1 hab.,60,13.33
1060,850,3 hab.,102,8.33
1061,1200,3 hab.,180,6.67
1062,650,3 hab.,85,7.65
1063,1000,3 hab.,150,6.67
1064,600,3 hab.,85,7.06
1065,675,3 hab.,110,6.14
1066,850,2 hab.,75,11.33
1067,850,3 hab.,140,6.07
1068,750,3 hab.,120,6.25
1069,800,2 hab.,110,7.27
1070,700,2 hab.,112,6.25
1071,900,4 hab.,140,6.43
1072,525,2 hab.,80,6.56
1073,500,1 hab.,40,12.5
1074,650,2 hab.,70,9.29
1075,600,3 hab.,120,5.0
1076,600,,50,12.0
1077,370,3 hab.,75,4.93
1078,650,3 hab.,100,6.5
1079,850,4 hab.,180,4.72
1080,580,3 hab.,90,6.44
1081,520,2 hab.,75,6.93
1082,850,3 hab.,120,7.08
1083,1100,6 hab.,175,6.29
1084,550,,40,13.75
1085,700,3 hab.,80,8.75
1086,750,2 hab.,78,9.62
1087,1800,3 hab.,115,15.65
1088,700,2 hab.,95,7.37
1089,700,3 hab.,82,8.54
1090,1450,2 hab.,82,17.68
1091,750,2 hab.,70,10.71
1092,790,2 hab.,110,7.18
1093,1300,3 hab.,118,11.02
1094,600,1 hab.,65,9.23
1095,390,1 hab.,45,8.67
1096,1800,2 hab.,85,21.18
1097,380,,40,9.5
1098,1000,3 hab.,110,9.09
1099,1500,5 hab.,300,5.0
1100,690,2 hab.,70,9.86
1101,750,2 hab.,90,8.33
1102,640,1 hab.,48,13.33
1103,650,3 hab.,80,8.12
1104,700,3 hab.,140,5.0
1105,700,2 hab.,110,6.36
1106,1000,4 hab.,130,7.69
1107,680,3 hab.,90,7.56
1108,750,3 hab.,98,7.65
1109,1100,5 hab.,175,6.29
1110,500,,30,16.67
1111,850,2 hab.,89,9.55
1112,1200,5 hab.,400,3.0
1113,600,3 hab.,100,6.0
1114,550,,30,18.33
1115,900,2 hab.,105,8.57
1116,850,2 hab.,70,12.14
1117,900,4 hab.,120,7.5
1118,1000,3 hab.,95,10.53
1119,580,3 hab.,110,5.27
1120,450,3 hab.,75,6.0
1121,650,3 hab.,100,6.5
1122,1300,2 hab.,120,10.83
1123,650,2 hab.,60,10.83
1124,950,1 hab.,75,12.67
1125,1200,2 hab.,130,9.23
1126,650,3 hab.,160,4.06
1127,750,2 hab.,110,6.82
1128,750,2 hab.,72,10.42
1129,380,4 hab.,130,2.92
1130,650,1 hab.,50,13.0
1131,800,2 hab.,80,10.0
1132,900,3 hab.,71,12.68
1133,1100,4 hab.,210,5.24
1134,1200,3 hab.,80,15.0
1135,600,1 hab.,90,6.67
1136,1800,2 hab.,116,15.52
1137,750,1 hab.,70,10.71
1138,750,2 hab.,88,8.52
1139,750,3 hab.,150,5.0
1140,650,3 hab.,200,3.25
1141,750,3 hab.,70,10.71
1142,1200,3 hab.,110,10.91
1143,1790,4 hab.,118,15.17
1144,750,3 hab.,106,7.08
1145,700,3 hab.,70,10.0
1146,675,3 hab.,89,7.58
1147,1800,3 hab.,120,15.0
1148,800,3 hab.,140,5.71
1149,750,3 hab.,105,7.14
1150,700,3 hab.,112,6.25
1151,700,2 hab.,80,8.75
1152,750,3 hab.,91,8.24
1153,500,3 hab.,95,5.26
